Location,Latitude,Longitude
الشروق1,30.180734,31.605279
القطامية,29.977042,31.358397
الجبل الأحمر,30.022648,31.343617
المقطم,29.9871466,31.3099416
NA,30.024261,31.354941
نادي الرماية,29.980158,31.116097
اسيوط الغربي1,29.8313651,31.0513276
اسيوط الغربي2,29.81525301,31.05465889
حلوان 1,29.7081111,31.4089444
حلوان 2,29.70795939,31.41019106
وادي حوف,29.90320004,31.30951703
6 اكتوبر,29.9585639,31.0644944
جسر السويس,30.12992893,31.36937857
عين حلوان,29.86888461,31.30511284
الفردوس,29.9622556,31.0409694
شيراتون,30.0905222,31.3790611
محور الشهيد,30.0298454,31.34047842
محور المشير,30.0167883,31.3894716
العياط 1,29.65833662,31.15781647
جنوب طريق الواحات,29.74962382,30.52632809
شروق طريق الصعيد الحر 1,29.7436793,31.4370185
شروق طريق الصعيد الحر 2,29.74211581,31.43864393
روض الفرج 1,30.1065556,30.9935833
روض الفرج 2,30.10673735,31.01024151
الفردوس م نصر,30.06148,31.36301637
اكتوبر 2,29.9990566,31.0992866
زهراء المعادى2,29.9675143,31.31274045
المنطقة الصناعية,29.92850911,30.87245141
زهراء المعادي3,29.96977221,31.33503581
العياط 2,29.65972222,31.15694444
العبور 2 الحي التاني,30.247246,31.482455
العبور 3 (الحى الثالث),30.25416529,31.5007501
جنوب طريق بلبيس,30.25083333,31.67055556
حدائق أكتوبر,29.93194967,30.9130333
العاشر من رمضان,30.29489162,31.67858954
الاوسطي 2,30.15523589,31.59078612
العاصمة الإدارية 3,30.00702082,31.64111503
العاصمة الإدارية 8,29.99460064,31.76939784
قرية الامل,30.73194444,32.26027778
دجله بالميز,29.89589369,30.90246463
كم 68القاهرة الاسماعلية,30.33708056,31.86174167
36 حربي,30.61057907,32.19603354
الهندسية لسيارات,29.88276866,31.31287999
الرحاب,30.04365008,31.49653604
يونيو30 5,30.41855504,32.13505309
يونيو30 6,30.40562603,32.15917349
بلبيس 2,30.29833333,31.48611111
احمد جلال,30.13555556,31.45508889
القرنفل,30.06447016,31.53928924
الغابة الشجرية,30.01655313,31.36659722
15 مايو,29.81335245,31.37035629
الشروق3,30.15088997,31.6450615
جنيفة 3,30.18607554,32.13966117
جنيفه 4,30.18647311,32.13974081
شق التعبان,29.93972308,31.33972241
30 3يونيو,30.84161495,32.1653496
30 4يونيو,30.84139326,32.16779181
السلام,30.14640697,31.41385697
الشاذلي1,30.13867424,31.46471226
الشاذلي2,30.13969775,31.46378827
العبور 1 الحي لسادس,30.24704167,31.48254721
المعادي,29.96777133,31.28738169
الواحة,30.04382808,31.38145864
الواحه,30.04382808,31.38145864
الوفاء والامل,30.04590327,31.35472702
الياسمين,29.96892133,30.92250598
تقاطع مدق 12,30.17582327,31.74073545
جنوب محور روض الفرج,30.0592176,30.67745886
جنيفه 2,30.18173973,31.7264661
جوزيف تيتو,30.13858749,31.42412036
خلف الاكاديمية,30.04946304,31.44170637
روض الفرج 3,30.06829582,30.82021406
روض الفرج 4,30.11923366,30.69483653
زهراء المعادي 1,29.97575445,31.29028758
شرق فوج المقر,30.07503364,31.33114328
مخرج طريق بلبيس,30.1534016,31.4288133
عز الدين,30.61527778,32.22638889
عمر ابن الخطاب,30.07582989,31.34755308
مدينة المستقبل,30.16413115,31.56333517
واصلة دهشور,29.90697925,30.96420029
كم 86,30.407296,32.001661
العبور ١ الحي السادس,30.24704167,31.48254721
جنوب محور روض الفرج 2,30.05126728,30.680194
وراق الحضر,30.10059185,31.22237039
الاوسطي 1,30.28626389,31.49291944
الجلود,30.17515187,31.77100922
المستقبل,30.16413115,31.56333517
فوج القمر,30.07503364,31.33114328
وادي الملاك,30.37634685,31.9360148
الزقازيق 1,30.56903391,31.51046733
الضبعة كم 2,30.149825,30.659731
الضبعة كم 23,30.15547099,30.43917513
امتداد رمسيس,30.06252382,31.29925721
جنوب الفيوم,29.08360396,30.81911321
بور سعيد ٢,31.22245517,32.29628121
ام القمر ١,30.09875376,31.97459625
ام القمر ٢,30.36549109,31.92147464
السلام الكيلو 19,30.14640697,31.41385697
بنها,30.44370616,31.17264281
قويسنا,30.55696413,31.13571676
السادات ٢,30.41981268,30.59499997
السادات ٣,30.33321183,30.52647743
الضبعة ك46,30.10999726,30.22185086
العاصمة الإدارية 7,29.99787011,31.72957956
بور سعيد,31.24727633,32.29043583
الوراق,30.09524927,31.21710765
الضبعة 2 كم 23,30.15547099,30.43917513
شرق مدينة بدر,30.09909677,31.81048146
الضبعة 4 كم 65,30.10516609,30.0275477